Greek	Translit	English	Example_GR	Example_EN	Tags
γράφω	gráfo	to write	Γράφω ένα email στον προπονητή.	I am writing an email to the coach.	root:γραφ
συγγραφέας	syngraféas	author	Ο συγγραφέας του βιβλίου είναι Κύπριος.	The author of the book is Cypriot.	root:γραφ
γραφείο	grafeío	office / desk	Το γραφείο μου είναι γεμάτο χαρτιά.	My desk is full of papers.	root:γραφ
γραπτός	graptós	written	Προτιμώ να έχω γραπτές οδηγίες.	I prefer to have written instructions.	root:γραφ
θέα	théa	view / sight	Η θέα από το δωμάτιο είναι καταπληκτική.	The view from the room is amazing.	root:θεα
θέατρο	théatro	theatre	Πάμε στο θέατρο το βράδυ.	We're going to the theatre tonight.	root:θεα
θεατής	theatís	spectator	Οι θεατές χειροκρότησαν ζεστά.	The spectators applauded warmly.	root:θεα
θέαμα	théama	spectacle / show	Το θέαμα του τελικού ήταν συγκλονιστικό.	The final was a spectacular show.	root:θεα
δύναμη	dýnami	strength, power	Χρειάζεσαι δύναμη για το εργόμετρο.	You need strength for the erg.	root:δυν
δυνατός	dynatós	strong / loud	Έχεις δυνατή φωνή όταν κουράρεις.	You have a loud voice when you cox.	root:δυν
δυναμικός	dynamikós	dynamic	Η δυναμική προθέρμανση μειώνει τραυματισμούς.	Dynamic warm‑up reduces injuries.	root:δυν
αποδυναμώνω	apodynamóno	to weaken	Η έλλειψη ύπνου αποδυναμώνει το ανοσοποιητικό.	Lack of sleep weakens the immune system.	root:δυν
λόγος	lógos	word / reason	Για ποιον λόγο άργησες;	For what reason were you late?	root:λογ
λογική	logikí	logic	Η λογική του αλγορίθμου είναι απλή.	The algorithm's logic is simple.	root:λογ
υπολογιστής	ypologistís	computer	Ο υπολογιστής μου χρειάζεται αναβάθμιση.	My computer needs an upgrade.	root:λογ
λογαριασμός	logariasmós	bill / account	Πλήρωσα ήδη τον λογαριασμό.	I already paid the bill.	root:λογ
μορφή	morfí	form / shape	Η μορφή του εγγράφου είναι PDF.	The document's form is PDF.	root:μορφ
διαμορφώνω	diamorfóno	to configure / shape	Διαμόρφωσα το περιβάλλον ανάπτυξης.	I configured the development environment.	root:μορφ
μεταμόρφωση	metamórfosi	transformation	Η μεταμόρφωση του χώρου ήταν εντυπωσιακή.	The space's transformation was impressive.	root:μορφ
μορφωμένος	morfoménos	educated	Είναι πολύ μορφωμένος καθηγητής.	He is a very educated professor.	root:μορφ
κέντρο	kéntro	center	Ζούμε κοντά στο κέντρο της πόλης.	We live near the city center.	root:κεντρ
κεντρικός	kentrikós	central	Ο κεντρικός στόχος είναι η νίκη.	The central goal is victory.	root:κεντρ
αποκεντρώνω	apokentróno	to decentralize	Η εταιρία αποκεντρώνει τη δομή της.	The company is decentralizing its structure.	root:κεντρ
επανακεντρίζω	epanakentrízo	to recenter	Πρέπει να επανακεντρίσεις το τιμόνι.	You need to recenter the steering wheel.	root:κεντρ
φως	fos	light	Άναψε το φως, παρακαλώ.	Turn on the light, please.	root:φωτ
φωτεινός	fotinós	bright	Το δωμάτιο είναι πολύ φωτεινό.	The room is very bright.	root:φωτ
φωτογραφία	fotografía	photo / photography	Βγάλαμε μια φωτογραφία μετά τον αγώνα.	We took a photo after the race.	root:φωτ
φωτισμός	fotismós	lighting	Ο φωτισμός στο γυμναστήριο είναι άριστος.	The lighting in the gym is excellent.	root:φωτ
τύπος	týpos	type / guy / press	Ποιος τύπος δεδομένων χρειάζεται;	Which data type is needed?	root:τυπ
τυπώνω	typóno	to print	Θα τυπώσω τις σημειώσεις.	I'll print the notes.	root:τυπ
τυπικός	typikós	typical / formal	Αυτό είναι τυπικό λάθος αρχαρίων.	That's a typical beginner mistake.	root:τυπ
άτυπος	átypos	informal	Είχαμε μια άτυπη συνάντηση.	We had an informal meeting.	root:τυπ
φέρω	féro	to bring	Θα φέρω τον υπολογιστή μου στην προπόνηση.	I'll bring my laptop to practice.	root:φερ
μεταφορά	metaforá	transport / metaphor	Η μεταφορά δεδομένων ολοκληρώθηκε.	The data transfer is complete.	root:φερ
προσφορά	prosforá	offer / donation	Έκανα μια προσφορά αίματος.	I made a blood donation.	root:φερ
περιφέρω	periféro	to carry around / parade	Μην περιφέρεις το κινητό χωρίς θήκη.	Don't carry your phone around without a case.	root:φερ
