What is the primary goal of NS3150?	To discuss obesity, its co-morbidities, and understand best practices for weight management to sustain metabolic fitness.
Why is obesity considered an emotionally charged topic?	It involves personal health, societal stigma, and requires sensitivity to avoid judgment of others’ lifestyles or choices.
What is the main weakness of using BMI to define obesity?	BMI does not account for fat mass, bone mass, lean muscle, or genetics.
What is the proximate cause of obesity?	Consuming more calories than expended (energy imbalance).
What is the ultimate cause of obesity?	Underlying factors like genetics, environmental changes (e.g., food availability), and evolutionary adaptations (e.g., thrifty genes).
Why is the proximate cause of obesity not sufficient to explain the obesity epidemic?	It doesn’t address why people overeat or why some individuals gain more weight than others despite similar caloric intake.
Why was obesity rare in hunter-gatherer populations?	High physical activity, unprocessed diets (rich in plants/fiber), and limited access to energy-dense foods.
What dietary change did William Banting advocate in the 1800s?	Avoiding bread, potatoes, and beer to reduce weight (an early low-carb approach).
How did the rise of low-fat diets in the 1900s contribute to obesity?	Low-fat diets led to increased consumption of refined carbohydrates and sugars.
What role did refined carbs play in the 1800s obesity discussion?	They were identified as a primary cause of obesity due to their high caloric density and low satiety.
How is BMR calculated using the Mifflin St. Jeor equation for men?	BMR = (10 × weight in kg) + (6.25 × height in cm) − (5 × age) + 5.
Why do individuals with obesity have a higher BMR?	More cells and larger organs require more energy, but when adjusted for fat-free mass, TEE remains similar to lean individuals.
What is the thermic effect of food (TEF)?	Energy expended to digest, absorb, and metabolize nutrients (accounts for ~10% of total energy expenditure).
What is the respiratory exchange ratio (RER)?	The ratio of CO2 produced to O2 consumed, used to determine which macronutrient (carbs, fats, proteins) is being metabolized.
What did the Ethan Sims overfeeding study reveal?	Participants regained their original weight post-study, suggesting a biological 'set point' for weight regulation.
What was a key finding of the Minnesota Starvation Experiment?	Severe calorie restriction reduced organ mass and increased fluid retention, with participants regaining weight post-study.
What is the energy expenditure cap?	The body adapts to increased physical activity by becoming metabolically efficient, limiting total daily energy expenditure.
How does the body compensate for increased exercise?	By reducing non-essential energy use (e.g., immune function, reproductive processes) to maintain energy balance.
Why do Arizona Pima Native Americans have higher obesity rates than their Mexican counterparts?	Adoption of a Western diet (high in processed foods) vs. traditional diets (low-fat, high-fiber).
How do adoption studies support genetic influences on obesity?	Adoptees’ BMIs correlate with biological parents, not adoptive parents, indicating genetic predisposition.
What environmental factors contribute to obesity?	Food availability, sedentary lifestyles, urbanization, and access to energy-dense, nutrient-poor foods.
What is the thrifty gene hypothesis?	Genes favoring fat storage evolved to survive famines, but in modern food-rich environments, these genes promote obesity.
How did the Dutch Hunger Winter study support epigenetic regulation of obesity?	Offspring exposed to famine in utero had higher obesity and diabetes rates, linked to DNA methylation changes in metabolic genes.
What role does the FTO gene play in obesity?	FTO SNPs increase appetite and fat mass without affecting energy expenditure.
What is a single nucleotide polymorphism (SNP)?	A genetic variation where a single nucleotide is altered, potentially affecting gene expression or protein function.
