Social Integration	Participation in a broad range of social relationships. Measured by number/types of social roles and participation frequency. Linked to better health via Main Effect Model (Berkman & Syme).
Social Support	Resources from social network to cope with stress. Types: Instrumental (aid), Informational (advice), Emotional (care). Perceived availability is key. Linked to health via Stress Buffering Model (Cohen).
Stress Buffering Model	Social connections protect health by providing resources to cope with stress, reducing its negative impact. Requires match between support type and stressor.
Main Effect Model	Social connectedness benefits health regardless of stress levels, through social control, positive psychological states (identity, purpose), and promoting healthy behaviors. Associated with Social Integration.
Loneliness	Subjective feeling of discrepancy between desired and actual social relationships (Quality of connection). Distinct from social isolation.
Social Isolation	Objective state of being alone, few relationships, infrequent contact (Quantity of connection). Distinct from loneliness.
Health Risks of Loneliness/Isolation	Increased mortality (~26-32%), cardiovascular disease, weakened immunity, sleep issues, cognitive decline (dementia risk), depression/anxiety, suicidality.
Berkman & Syme (1979)	Alameda County Study. Found a strong link between lack of social ties (low social integration) and increased risk of mortality from all causes. Classic evidence for Main Effect Model.
Cohen (Researcher)	Major researcher on stress, social support, and health. Emphasized perceived support and the Stress Buffering Model. Studied link between stress/conflict and susceptibility to illness (e.g., common cold).
Cacioppo (Researcher)	Studied loneliness extensively, viewing it as a biological drive. Researched physiological correlates (cortisol, gene expression, cardiovascular) and health consequences. Noted loneliness can spread in networks.
Fiske's Relational Models	Four elementary models of social relationships: Communal Sharing, Authority Ranking, Equality Matching, Market Pricing.
Nearby Nature (Wells & Evans, 2003)	Study showed vegetation near rural children's homes buffered the negative impact of stressful life events on psychological distress and self-worth. Evidence for nature as a stress buffer.
Ulrich (1984) Hospital Study	Patients recovering from surgery with window views of nature had better outcomes (shorter stays, less pain medication) than those viewing a brick wall.
Social Identity	Part of self-concept derived from group memberships (race, gender, age, occupation, etc.). Crucial in adolescence (Erikson).
Contingencies of Social Identity	Cues in a setting signaling evaluation based on one's social identity, making it salient and potentially threatening (Claude Steele).
Stereotype Threat	Fear of confirming a negative stereotype about one's group, leading to anxiety and impaired performance in relevant domains (Claude Steele).
Examples of Stereotype Threat	African Americans on intelligence tests, women in math, elderly on memory tests, White men in some athletics. Effects strongest for those invested in the domain.
Belonging	A fundamental human need; a sense of connectedness, acceptance, and inclusion in a social group or achievement domain.
